cardID,cardNAME,cardMEANING,cardPHOTO
1,Ace of Wands,"จักรวาล: เหมือนดาวที่ปรากฏจากความมืด ความรู้สึกของการเริ่มต้นใหม่และแรงบันดาลใจใหม่ๆ ที่เข้ามา
ข้อความ: ""โอกาสใหม่กำลังรออยู่ เพียงแค่เปิดใจรับมัน""",c1
2,Two of Wands,"จักรวาล: เหมือนดวงดาวที่หมุนรอบตัวเองและสำรวจเส้นทางใหม่ๆ
ข้อความ: ""เวลาที่คุณต้องการมองไปข้างหน้าและเลือกเส้นทางที่เหมาะสม""",c2
3,Three of Wands,"จักรวาล: เหมือนดาวที่เคลื่อนที่ไปข้างหน้าและได้รับผลจากการเคลื่อนไหว
ข้อความ: ""ผลจากการทำงานหนักกำลังเริ่มปรากฏขึ้น""",c3
4,Four of Wands,"จักรวาล: เหมือนดวงดาวที่มีการสังสรรค์ร่วมกันในท้องฟ้า
ข้อความ: ""การเฉลิมฉลองผลสำเร็จและความสมบูรณ์แบบในชีวิต""",c4
5,Five of Wands,"จักรวาล: เหมือนดาวที่ต่อสู้กันในดวงจักรวาล เป็นสัญลักษณ์ของการพัฒนาและการเผชิญกับอุปสรรค
ข้อความ: ""ในช่วงที่ต้องแข่งขัน จงพยายามพัฒนาตัวเองและไม่ยอมแพ้""",c5
6,Six of Wands,"จักรวาล: เหมือนดาวที่ได้แสงสว่างและได้รับการยกย่องจากจักรวาล
ข้อความ: ""คุณได้ทำสำเร็จแล้ว และโลกกำลังมองเห็นความสำเร็จของคุณ""",c6
7,Seven of Wands,"จักรวาล: เหมือนดาวที่ต้องต่อสู้กับการเคลื่อนไหวจากสิ่งต่างๆ ที่รอบตัว
ข้อความ: ""อย่ายอมแพ้เมื่อเจอกับอุปสรรค ต้องยืนหยัดเพื่อความสำเร็จ""",c7
8,Eight of Wands,"จักรวาล: เหมือนดาวที่เคลื่อนที่ด้วยความเร็วแสง
ข้อความ: ""การเคลื่อนไหวที่รวดเร็วและมีพลังทำให้คุณสามารถบรรลุเป้าหมายได้""",c8
9,Nine of Wands,"จักรวาล: เหมือนดาวที่เจอการเดินทางที่ยาวนานและเหนื่อยล้า แต่ยังคงส่องแสง
ข้อความ: ""ถึงแม้จะเหนื่อยล้า แต่จงมีกำลังใจและสู้ต่อไป""",c9
10,Ten of Wands,"จักรวาล: เหมือนดาวที่ถูกกดดันด้วยแรงโน้มถ่วง
ข้อความ: ""หากคุณรู้สึกหนักใจ ขอให้แบ่งเบาภาระและอย่าทำทุกอย่างด้วยตัวเอง""",c10
