cardID,cardNAME,cardMEANING,cardPHOTO
1,Capricorn,"ดวงดาวประจำราศี: ดาวเสาร์ (Saturn)
การงาน: งานที่ต้องใช้ความอดทนและการวางแผนระยะยาวจะสำเร็จ ระวังการทำงานหนักเกินไป
การเงิน: คุณสามารถจัดการการเงินได้ดี แต่ควรหลีกเลี่ยงความเสี่ยง
ความรัก: คนโสดยังไม่พบคนที่ถูกใจ ส่วนคนมีคู่ ความสัมพันธ์ต้องการความเข้าใจและการสนับสนุน",card1
2,Aquarius,"ดวงดาวประจำราศี: ดาวยูเรนัส (Uranus) และดาวเสาร์ (Saturn)
การงาน: คุณจะได้รับโอกาสในการเปลี่ยนแปลงหรือทำงานที่ท้าทาย ระวังการเปลี่ยนแปลงที่เกิดขึ้นอย่างกะทันหัน
การเงิน: มีรายจ่ายเกี่ยวกับเทคโนโลยีหรือการลงทุนเพื่ออนาคต
ความรัก: คนโสดจะพบรักกับคนที่มีแนวคิดคล้ายกัน ส่วนคนมีคู่ ความสัมพันธ์ต้องการการปรับตัว",card2
3,Pisces,"ดวงดาวประจำราศี: ดาวเนปจูน (Neptune) และดาวพฤหัสบดี (Jupiter)
การงาน: งานที่ต้องใช้ความคิดสร้างสรรค์และความยืดหยุ่นจะสำเร็จ ระวังความกังวลเกินเหตุ
การเงิน: รายรับมั่นคง แต่รายจ่ายเกี่ยวกับความบันเทิงและการช่วยเหลือคนอื่นเพิ่มขึ้น
ความรัก: คนโสดจะพบรักในสถานการณ์ที่คาดไม่ถึง ส่วนคนมีคู่ ความสัมพันธ์จะเต็มไปด้วยความอ่อนโยน",card3
4,Aries,"ดวงดาวประจำราศี: ดาวอังคาร (Mars)
การงาน: คุณมีพลังและความมุ่งมั่นที่จะทำสิ่งต่าง ๆ ให้สำเร็จ ระวังความใจร้อนที่อาจทำให้เกิดข้อผิดพลาด
การเงิน: รายรับมั่นคง แต่ควรหลีกเลี่ยงการตัดสินใจทางการเงินที่รีบเร่ง
ความรัก: คนโสดมีโอกาสพบรักจากการทำงาน ส่วนคนมีคู่ ระวังความขัดแย้งเล็กน้อยที่เกิดจากอารมณ์",card4
5,Taurus,"ดวงดาวประจำราศี: ดาวศุกร์ (Venus)
การงาน: คุณมีความมั่นคงและความอดทนในการทำงาน ระวังการยึดติดกับวิธีเดิม ๆ มากเกินไป
การเงิน: รายจ่ายเกี่ยวกับครอบครัวเพิ่มขึ้น แต่คุณสามารถจัดการได้อย่างมีประสิทธิภาพ
ความรัก: คนโสดจะพบคนที่จริงใจ ส่วนคนมีคู่ ความสัมพันธ์เต็มไปด้วยความรักและการสนับสนุน",card5
6,Gemini,"ดวงดาวประจำราศี: ดาวพุธ (Mercury)
การงาน: งานที่เกี่ยวข้องกับการสื่อสารหรือความคิดสร้างสรรค์จะโดดเด่น ระวังการจัดลำดับความสำคัญผิดพลาด
การเงิน: มีรายรับจากงานเสริมหลายทาง แต่ต้องระวังการใช้จ่ายเกินตัว
ความรัก: คนโสดอาจพบรักผ่านการสนทนา ส่วนคนมีคู่ ควรใช้เวลาในการพูดคุยกันมากขึ้น",card6
7,Cancer,"ดวงดาวประจำราศี: ดวงจันทร์ (Moon)
การงาน: คุณจะได้รับการสนับสนุนจากผู้ใหญ่ในที่ทำงาน ระวังอารมณ์ที่แปรปรวนซึ่งอาจส่งผลต่อประสิทธิภาพ
การเงิน: รายจ่ายเกี่ยวกับครอบครัวสูงขึ้น แต่มีโอกาสได้รับโชคลาภเล็กน้อย
ความรัก: คนโสดจะพบรักจากการเดินทาง ส่วนคนมีคู่ควรใส่ใจความรู้สึกของกันและกันมากขึ้น",card7
8,Leo,"ดวงดาวประจำราศี: ดวงอาทิตย์ (Sun)
การงาน: คุณมีความสามารถและความเป็นผู้นำที่จะทำให้งานสำเร็จ ระวังการตัดสินใจที่ขาดข้อมูล
การเงิน: มีรายจ่ายเกี่ยวกับความฟุ่มเฟือย ควรเน้นการออมเงิน
ความรัก: คนโสดมีเสน่ห์ดึงดูด ส่วนคนมีคู่ ความสัมพันธ์จะเปี่ยมด้วยความมั่นคง",card8
9,Virgo,"ดวงดาวประจำราศี: ดาวพุธ (Mercury)
การงาน: คุณจะได้รับการยอมรับจากผลงานที่ละเอียดและมีคุณภาพ ระวังความเครียดจากการทำงาน
การเงิน: มีรายรับที่มั่นคง แต่ควรหลีกเลี่ยงการใช้จ่ายที่ไม่จำเป็น
ความรัก: คนโสดยังไม่พบคนที่ถูกใจ ส่วนคนมีคู่ควรแบ่งเวลาให้กับความสัมพันธ์",card6
10,Libra,"ดวงดาวประจำราศี: ดาวศุกร์ (Venus)
การงาน: คุณมีโอกาสได้ร่วมงานที่ต้องใช้ความสามารถในการเจรจา ระวังการตัดสินใจที่ลังเล
การเงิน: มีโชคลาภเล็กน้อยจากการเสี่ยงโชค แต่ต้องวางแผนการเงินให้ดี
ความรัก: คนโสดจะพบรักในงานสังคม ส่วนคนมีคู่ ความสัมพันธ์มีความสมดุลและเข้าใจกัน",card5
11,Scorpio,"ดวงดาวประจำราศี: ดาวอังคาร (Mars) และดาวพลูโต (Pluto)
การงาน: งานที่ต้องใช้ความลึกซึ้งหรือวางแผนระยะยาวจะสำเร็จ ระวังการมีปัญหากับเพื่อนร่วมงาน
การเงิน: มีรายรับจากการลงทุน แต่ต้องระวังการใช้เงินโดยไม่จำเป็น
ความรัก: คนโสดจะเจอคนที่ลึกลับและน่าสนใจ ส่วนคนมีคู่ควรเปิดใจคุยกันมากขึ้น",card4
12,Sagittarius,"ดวงดาวประจำราศี: ดาวพฤหัสบดี (Jupiter)
การงาน: คุณจะได้รับโอกาสใหม่ในงานที่เกี่ยวข้องกับการเดินทางหรือการเรียนรู้
การเงิน: รายรับเพิ่มขึ้น แต่ควรระวังรายจ่ายฟุ่มเฟือย
ความรัก: คนโสดจะพบคนที่เปิดโลกใหม่ ส่วนคนมีคู่ ความสัมพันธ์จะเต็มไปด้วยความสนุกสนาน",card9
